datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-15,1.006,1.009,1.011,1.005,1853464,186660399.0,0.6,0.2,0.002,119.29
2025-04-16,1.009,1.017,1.017,1.004,575009,58087988.0,1.29,0.79,0.008,37.01
2025-04-17,1.013,1.016,1.017,1.006,407638,41345496.0,1.08,-0.1,-0.001,26.24
2025-04-18,1.015,1.019,1.02,1.01,511896,52103878.0,0.98,0.3,0.003,32.95
2025-04-21,1.018,1.019,1.021,1.014,176597,17972880.0,0.69,0.0,0.0,11.37
2025-04-22,1.019,1.022,1.023,1.016,353865,36145810.0,0.69,0.29,0.003,22.77
2025-04-23,1.022,1.019,1.022,1.017,189430,19310228.0,0.49,-0.29,-0.003,12.19
2025-04-24,1.015,1.021,1.024,1.014,275606,28163806.0,0.98,0.2,0.002,17.74
2025-04-25,1.017,1.019,1.022,1.017,188635,19234413.0,0.49,-0.2,-0.002,12.14
2025-04-28,1.016,1.023,1.025,1.013,122960,12557204.0,1.18,0.39,0.004,7.91
2025-04-29,1.023,1.016,1.023,1.015,214041,21804116.0,0.78,-0.68,-0.007,13.78
2025-04-30,1.02,1.015,1.02,1.013,223878,22753878.0,0.69,-0.1,-0.001,14.41
2025-05-06,1.013,1.017,1.018,1.01,328796,33364267.0,0.79,0.2,0.002,21.16
2025-05-07,1.017,1.027,1.027,1.017,278630,28511350.0,0.98,0.98,0.01,17.93
2025-05-08,1.02,1.027,1.031,1.02,113771,11696444.0,1.07,0.0,0.0,7.32
2025-05-09,1.031,1.032,1.033,1.027,138002,14216249.0,0.58,0.49,0.005,8.88
2025-05-12,1.032,1.039,1.039,1.032,234471,24268440.0,0.68,0.68,0.007,15.09
2025-05-13,1.039,1.042,1.046,1.037,391925,40783624.0,0.87,0.29,0.003,25.22
2025-05-14,1.04,1.079,1.146,1.04,472567,49778150.0,10.17,3.55,0.037,30.41
2025-05-15,1.06,1.05,1.06,1.048,113814,11972449.0,1.11,-2.69,-0.029,7.32
2025-05-16,1.047,1.043,1.056,1.039,146133,15224609.0,1.62,-0.67,-0.007,9.4
2025-05-19,1.037,1.045,1.046,1.037,92258,9637733.0,0.86,0.19,0.002,5.94
2025-05-20,1.047,1.053,1.054,1.044,365113,38403272.0,0.96,0.77,0.008,23.5
2025-05-21,1.056,1.066,1.067,1.049,416069,44248183.0,1.71,1.23,0.013,26.78
2025-05-22,1.066,1.062,1.066,1.058,231455,24599601.0,0.75,-0.38,-0.004,14.9
2025-05-23,1.062,1.055,1.069,1.053,184974,19646117.0,1.51,-0.66,-0.007,11.9
2025-05-26,1.053,1.049,1.055,1.045,164370,17231640.0,0.95,-0.57,-0.006,10.58
2025-05-27,1.05,1.045,1.053,1.044,159997,16769079.0,0.86,-0.38,-0.004,10.3
2025-05-28,1.046,1.051,1.053,1.046,201317,21160014.0,0.67,0.57,0.006,12.96
2025-05-29,1.048,1.051,1.053,1.048,206394,21695527.0,0.48,0.0,0.0,13.28
2025-05-30,1.05,1.053,1.054,1.046,274225,28837675.0,0.76,0.19,0.002,17.65
2025-06-03,1.047,1.047,1.054,1.045,155727,16306984.0,0.85,-0.57,-0.006,10.02
2025-06-04,1.047,1.048,1.05,1.047,191728,20109004.0,0.29,0.1,0.001,12.34
2025-06-05,1.051,1.046,1.051,1.045,212409,22229794.0,0.57,-0.19,-0.002,13.67
2025-06-06,1.048,1.053,1.054,1.047,306380,32186362.0,0.67,0.67,0.007,19.72
2025-06-09,1.053,1.054,1.055,1.049,247487,26053901.0,0.57,0.09,0.001,15.93
2025-06-10,1.051,1.048,1.056,1.046,256643,27027321.0,0.95,-0.57,-0.006,16.52
2025-06-11,1.048,1.059,1.061,1.048,401029,42437545.0,1.24,1.05,0.011,25.81
2025-06-12,1.064,1.055,1.064,1.054,188568,19913649.0,0.94,-0.38,-0.004,12.14
2025-06-13,1.055,1.058,1.06,1.055,342874,36258372.0,0.47,0.28,0.003,22.07
