datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-14,1.033,1.066,1.069,1.033,3489315,367702661.961,3.46,2.6,0.027,1495.44
2025-04-15,1.07,1.057,1.074,1.052,624590,66127950.433,2.06,-0.84,-0.009,267.68
2025-04-16,1.055,1.032,1.055,1.016,380875,39465534.394,3.69,-2.37,-0.025,163.23
2025-04-17,1.025,1.034,1.043,1.025,223316,23167867.087,1.74,0.19,0.002,95.71
2025-04-18,1.034,1.031,1.039,1.029,81649,8424789.189,0.97,-0.29,-0.003,34.99
2025-04-21,1.034,1.044,1.061,1.032,372609,38813695.867,2.81,1.26,0.013,159.69
2025-04-22,1.053,1.083,1.089,1.045,750698,80535619.293,4.21,3.74,0.039,321.73
2025-04-23,1.11,1.106,1.118,1.1,133323,14775358.323,1.66,2.12,0.023,57.14
2025-04-24,1.107,1.102,1.126,1.097,172782,19171484.392,2.62,-0.36,-0.004,74.05
2025-04-25,1.121,1.106,1.132,1.105,128066,14278774.617,2.45,0.36,0.004,54.89
2025-04-28,1.1,1.107,1.113,1.08,228735,25183192.317,2.98,0.09,0.001,98.03
2025-04-29,1.116,1.113,1.179,1.111,2773736,314537864.771,6.14,0.54,0.006,1188.76
2025-04-30,1.12,1.119,1.127,1.11,939499,105202874.673,1.53,0.54,0.006,402.65
2025-05-06,1.133,1.131,1.143,1.124,442384,50032932.647,1.7,1.07,0.012,189.6
2025-05-07,1.14,1.109,1.144,1.103,209159,23452335.895,3.63,-1.95,-0.022,89.64
2025-05-08,1.11,1.116,1.123,1.106,189047,21071255.8,1.53,0.63,0.007,81.02
2025-05-09,1.122,1.112,1.122,1.107,122532,13656761.882,1.34,-0.36,-0.004,52.51
2025-05-12,1.111,1.099,1.112,1.092,271060,29875040.164,1.8,-1.17,-0.013,116.17
2025-05-13,1.11,1.109,1.124,1.107,185106,20579744.468,1.55,0.91,0.01,79.33
2025-05-14,1.111,1.118,1.124,1.111,285599,31942148.143,1.17,0.81,0.009,122.4
2025-05-15,1.123,1.114,1.127,1.111,140368,15693883.678,1.43,-0.36,-0.004,60.16
2025-05-16,1.115,1.118,1.124,1.109,140801,15704072.832,1.35,0.36,0.004,60.34
2025-05-19,1.117,1.115,1.119,1.107,106327,11854386.7,1.07,-0.27,-0.003,45.57
2025-05-20,1.122,1.141,1.152,1.122,341214,38904894.303,2.69,2.33,0.026,146.24
2025-05-21,1.14,1.148,1.16,1.139,164701,18973126.7,1.84,0.61,0.007,70.59
2025-05-22,1.149,1.134,1.153,1.134,212441,24251902.4,1.66,-1.22,-0.014,91.05
2025-05-23,1.143,1.131,1.159,1.131,211098,24272575.3,2.47,-0.26,-0.003,90.47
2025-05-26,1.135,1.117,1.139,1.117,142777,16069211.348,1.95,-1.24,-0.014,61.19
2025-05-27,1.121,1.142,1.148,1.121,300249,34138761.505,2.42,2.24,0.025,128.68
2025-05-28,1.14,1.137,1.144,1.133,136645,15529685.936,0.96,-0.44,-0.005,58.56
2025-05-29,1.139,1.177,1.205,1.139,2662392,311631614.137,5.8,3.52,0.04,1141.04
2025-05-30,1.175,1.17,1.184,1.162,572156,67130782.589,1.87,-0.59,-0.007,245.21
2025-06-03,1.169,1.172,1.176,1.165,367515,43027525.31,0.94,0.17,0.002,157.51
2025-06-04,1.175,1.198,1.205,1.175,424330,50731587.775,2.56,2.22,0.026,181.86
2025-06-05,1.202,1.186,1.217,1.181,366701,43980172.0,3.01,-1.0,-0.012,157.16
2025-06-06,1.186,1.196,1.2,1.179,245157,29137420.2,1.77,0.84,0.01,105.07
2025-06-09,1.2,1.244,1.253,1.2,524393,64841902.139,4.43,4.01,0.048,224.74
2025-06-10,1.245,1.271,1.291,1.245,959433,121969725.242,3.7,2.17,0.027,411.19
2025-06-11,1.273,1.273,1.292,1.269,418550,53585463.5,1.81,0.16,0.002,179.38
2025-06-12,1.275,1.324,1.324,1.271,571343,74486641.8,4.16,4.01,0.051,244.86
2025-06-13,1.36,1.286,1.361,1.286,756186,99305180.631,5.66,-2.87,-0.038,324.08
