datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-09,1.0,1.002,1.004,1.0,913669,91499372.0,0.4,0.1,0.001,54.14
2025-05-12,1.003,1.008,1.009,1.003,433994,43661712.0,0.6,0.6,0.006,25.72
2025-05-13,1.014,1.014,1.016,1.008,425582,43133624.0,0.79,0.6,0.006,25.22
2025-05-14,1.015,1.027,1.029,1.012,390222,39856935.0,1.68,1.28,0.013,23.12
2025-05-15,1.026,1.022,1.03,1.021,210244,21567722.0,0.88,-0.49,-0.005,12.46
2025-05-16,1.02,1.018,1.026,1.015,106022,10798160.0,1.08,-0.39,-0.004,6.28
2025-05-19,1.018,1.02,1.022,1.017,54570,5564899.0,0.49,0.2,0.002,3.23
2025-05-20,1.021,1.022,1.028,1.021,62515,6400735.0,0.69,0.2,0.002,3.7
2025-05-21,1.03,1.039,1.041,1.03,250216,25948006.0,1.08,1.66,0.017,14.83
2025-05-22,1.039,1.038,1.039,1.034,142242,14762570.0,0.48,-0.1,-0.001,8.43
2025-05-23,1.036,1.034,1.045,1.03,79122,8216031.0,1.45,-0.39,-0.004,4.69
2025-05-26,1.031,1.027,1.033,1.024,45416,4668085.0,0.87,-0.68,-0.007,2.69
2025-05-27,1.027,1.022,1.037,1.021,27798,2844538.0,1.56,-0.49,-0.005,1.65
2025-05-28,1.023,1.03,1.032,1.023,43193,4447363.0,0.88,0.78,0.008,2.56
2025-05-29,1.029,1.034,1.037,1.027,82222,8490048.0,0.97,0.39,0.004,4.87
2025-05-30,1.034,1.032,1.034,1.027,56698,5848254.0,0.68,-0.19,-0.002,3.36
2025-06-03,1.03,1.024,1.03,1.022,43080,4414913.0,0.78,-0.78,-0.008,2.55
2025-06-04,1.024,1.026,1.029,1.024,26570,2728100.0,0.49,0.2,0.002,1.57
2025-06-05,1.026,1.025,1.03,1.022,27012,2766886.0,0.78,-0.1,-0.001,1.6
2025-06-06,1.023,1.025,1.028,1.022,33514,3437991.0,0.59,0.0,0.0,1.99
2025-06-09,1.022,1.026,1.029,1.022,57672,5921661.0,0.68,0.1,0.001,3.42
2025-06-10,1.026,1.033,1.033,1.021,112537,11582045.0,1.17,0.68,0.007,6.67
2025-06-11,1.033,1.034,1.035,1.028,54747,5660799.0,0.68,0.1,0.001,3.24
2025-06-12,1.034,1.027,1.034,1.027,38808,3995729.0,0.68,-0.68,-0.007,2.3
2025-06-13,1.027,1.025,1.033,1.024,45296,4648766.0,0.88,-0.19,-0.002,2.68
