datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-10,0.969,0.952,0.97,0.945,2034662,194228619.0,2.58,-1.75,-0.017,4.15
2024-07-11,0.952,0.958,0.962,0.952,562443,53870380.0,1.05,0.63,0.006,1.15
2024-07-12,0.962,0.961,0.969,0.953,992323,95104858.0,1.67,0.31,0.003,2.03
2024-07-15,0.961,0.962,0.97,0.952,272204,26228002.0,1.87,0.1,0.001,0.56
2024-07-16,0.965,0.959,0.965,0.956,247132,23732942.0,0.94,-0.31,-0.003,0.5
2024-07-17,0.959,0.928,0.959,0.922,944383,87997315.0,3.86,-3.23,-0.031,1.93
2024-07-18,0.931,0.942,0.944,0.929,371537,34828494.0,1.62,1.51,0.014,0.76
2024-07-19,0.941,0.917,0.941,0.916,639537,58840148.0,2.65,-2.65,-0.025,1.31
2024-07-22,0.918,0.926,0.927,0.906,667010,61263893.0,2.29,0.98,0.009,1.36
2024-07-23,0.926,0.923,0.934,0.921,229899,21371722.0,1.4,-0.32,-0.003,0.47
2024-07-24,0.92,0.932,0.936,0.92,334788,31173674.0,1.73,0.98,0.009,0.68
2024-07-25,0.931,0.902,0.932,0.899,1490197,134869899.0,3.54,-3.22,-0.03,3.04
2024-07-26,0.904,0.895,0.913,0.888,734068,65836707.0,2.77,-0.78,-0.007,1.5
2024-07-29,0.897,0.909,0.911,0.897,188721,17092471.0,1.56,1.56,0.014,0.39
2024-07-30,0.909,0.889,0.909,0.888,234069,20857827.0,2.31,-2.2,-0.02,0.48
2024-07-31,0.889,0.904,0.908,0.884,961177,86394010.0,2.7,1.69,0.015,1.96
2024-08-01,0.905,0.903,0.913,0.903,171668,15585545.0,1.11,-0.11,-0.001,0.35
2024-08-02,0.901,0.897,0.903,0.885,377314,33847903.0,1.99,-0.66,-0.006,0.77
2024-08-05,0.888,0.858,0.897,0.856,520845,45361230.0,4.57,-4.35,-0.039,1.06
2024-08-06,0.872,0.86,0.876,0.856,87542,7552726.0,2.33,0.23,0.002,0.18
2024-08-07,0.864,0.876,0.885,0.862,281869,24708678.0,2.67,1.86,0.016,0.58
2024-08-08,0.881,0.877,0.885,0.872,135477,11884808.0,1.48,0.11,0.001,0.28
2024-08-09,0.883,0.88,0.892,0.879,593629,52638272.0,1.48,0.34,0.003,1.21
2024-08-12,0.884,0.882,0.887,0.88,152170,13426238.0,0.8,0.23,0.002,0.31
2024-08-13,0.883,0.89,0.895,0.883,216615,19281356.0,1.36,0.91,0.008,0.44
2024-08-14,0.894,0.886,0.895,0.885,46265,4108661.0,1.12,-0.45,-0.004,0.09
2024-08-15,0.885,0.897,0.915,0.88,524720,47227806.0,3.95,1.24,0.011,1.07
2024-08-16,0.901,0.909,0.915,0.901,416900,37995689.0,1.56,1.34,0.012,0.85
2024-08-19,0.913,0.909,0.916,0.908,158111,14421733.0,0.88,0.0,0.0,0.32
2024-08-20,0.905,0.897,0.907,0.892,229996,20614510.0,1.65,-1.32,-0.012,0.47
2024-08-21,0.897,0.898,0.9,0.89,159685,14271120.0,1.11,0.11,0.001,0.33
2024-08-22,0.9,0.902,0.903,0.888,188655,16929408.0,1.67,0.45,0.004,0.39
2024-08-23,0.903,0.905,0.908,0.9,312638,28249459.0,0.89,0.33,0.003,0.64
2024-08-26,0.906,0.91,0.912,0.906,346782,31538884.0,0.66,0.55,0.005,0.71
2024-08-27,0.91,0.929,0.93,0.91,650273,60093103.0,2.2,2.09,0.019,1.33
2024-08-28,0.93,0.919,0.93,0.915,997906,91898905.0,1.61,-1.08,-0.01,2.04
2024-08-29,0.915,0.907,0.916,0.905,427508,38892429.0,1.2,-1.31,-0.012,0.87
2024-08-30,0.907,0.916,0.919,0.905,431915,39444145.0,1.54,0.99,0.009,0.88
2024-09-02,0.91,0.904,0.911,0.897,336569,30470112.0,1.53,-1.31,-0.012,0.69
2024-09-03,0.904,0.898,0.91,0.895,505819,45443548.0,1.66,-0.66,-0.006,1.03
2024-09-04,0.884,0.876,0.888,0.869,687116,60097362.0,2.12,-2.45,-0.022,1.4
2024-09-05,0.88,0.854,0.88,0.852,883716,75845788.0,3.2,-2.51,-0.022,1.8
2024-09-06,0.857,0.854,0.862,0.853,124386,10672380.0,1.05,0.0,0.0,0.25
2024-09-09,0.849,0.822,0.849,0.819,447135,36858438.0,3.51,-3.75,-0.032,0.91
2024-09-10,0.824,0.827,0.827,0.819,748696,61588381.0,0.97,0.61,0.005,1.53
2024-09-11,0.811,0.81,0.814,0.798,534593,42963101.0,1.93,-2.06,-0.017,1.09
2024-09-12,0.813,0.817,0.821,0.806,377468,30735986.0,1.85,0.86,0.007,0.77
2024-09-13,0.82,0.825,0.832,0.818,218858,18102464.0,1.71,0.98,0.008,0.45
2024-09-18,0.831,0.83,0.832,0.827,50937,4226825.0,0.61,0.61,0.005,0.1
2024-09-19,0.832,0.839,0.84,0.826,163417,13614122.0,1.69,1.08,0.009,0.33
2024-09-20,0.841,0.844,0.85,0.836,146323,12343911.0,1.67,0.6,0.005,0.3
2024-09-23,0.842,0.86,0.862,0.842,400856,34377885.0,2.37,1.9,0.016,0.82
2024-09-24,0.864,0.889,0.896,0.864,1257687,111301748.0,3.72,3.37,0.029,2.57
2024-09-25,0.91,0.896,0.922,0.894,377332,34286272.0,3.15,0.79,0.007,0.77
2024-09-26,0.905,0.897,0.905,0.886,905380,80951282.0,2.12,0.11,0.001,1.85
2024-09-27,0.905,0.918,0.918,0.896,395423,35861274.0,2.45,2.34,0.021,0.81
2024-09-30,0.93,0.94,0.972,0.915,3352704,313058539.0,6.21,2.4,0.022,6.85
2024-10-08,1.017,0.951,1.03,0.935,1882580,183375300.0,10.11,1.17,0.011,3.84
2024-10-09,0.949,0.901,0.949,0.896,1935400,177795691.0,5.57,-5.26,-0.05,3.95
2024-10-10,0.911,0.946,0.964,0.911,1047824,98881378.0,5.88,4.99,0.045,2.14
2024-10-11,0.956,0.934,0.965,0.922,1820074,171670359.0,4.55,-1.27,-0.012,3.72
2024-10-14,0.938,0.954,0.975,0.938,2494969,237704030.0,3.96,2.14,0.02,5.09
2024-10-15,0.953,0.924,0.953,0.922,496094,46599027.0,3.25,-3.14,-0.03,1.01
2024-10-16,0.92,0.924,0.932,0.915,1339250,123818938.0,1.84,0.0,0.0,2.73
2024-10-17,0.93,0.917,0.942,0.917,595328,55439286.0,2.71,-0.76,-0.007,1.22
2024-10-18,0.921,0.927,0.938,0.915,838885,77670945.0,2.51,1.09,0.01,1.71
2024-10-21,0.93,0.92,0.934,0.918,792918,73397339.0,1.73,-0.76,-0.007,1.62
2024-10-22,0.922,0.924,0.929,0.922,503694,46647187.0,0.76,0.43,0.004,1.03
2024-10-23,0.926,0.923,0.934,0.922,538968,50054916.0,1.3,-0.11,-0.001,1.1
